INFO   | jvm 1    | 2021/07/12 05:48:22 | , user.dir=H:\SoftwareAG\ARIS10.0\server\bin, wrapper.lang.domain=wrapper, java.class.path=H:\SoftwareAG\ARIS10.0/server/lib/wrapper.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/activation-1.1.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ant-1.9.7.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ant-compress-1.5.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ant-contrib-1.0b3.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ant-launcher-1.9.7.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/antelopetasks-3.5.3.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/audience-annotations-0.5.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/aws-java-sdk-core-1.11.474.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/aws-java-sdk-kms-1.11.474.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/aws-java-sdk-s3-1.11.474.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-beanutils-1.9.3.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-codec-1.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-collections-3.2.2.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-compress-1.18.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-email-1.5.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-io-2.2.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-lang3-3.5.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-lang-2.6.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-logging-1.1.3.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/commons-net-3.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/curator-client-4.2.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/curator-framework-4.2.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/curator-recipes-4.2.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/dec-0.1.2.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.javax.ejb-3.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.javax.mail-1.4.4.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.javax.servlet-api-3.0.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.javax.servlet-api-3.1.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.jersey-core-1.11.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.jersey-gf-server-1.11.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.jersey-gf-servlet-1.11.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/gf.jersey-json-1.11.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/guava-20.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/httpclient-4.5.9-SAG.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/httpcore-4.4.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ion-java-1.0.2.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-annotations-2.9.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-core-2.9.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-databind-2.9.10.3.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-dataformat-cbor-2.6.7.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-datatype-guava-2.9.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-jaxrs-base-2.9.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-jaxrs-json-provider-2.9.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jackson-module-jaxb-annotations-2.9.10.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jaxb-api-2.3.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jaxb-core-2.3.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jaxb-impl-2.3.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jetty-http-9.4.18.v20190429.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jetty-io-9.4.18.v20190429.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jetty-security-9.4.18.v20190429.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jetty-server-9.4.18.v20190429.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jetty-servlet-9.4.18.v20190429.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jetty-util-9.4.18.v20190429.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jmespath-java-1.11.474.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jna-5.4.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jna-platform-5.4.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/joda-time-2.8.1.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jsoup-1.7.2.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/jul-to-slf4j-1.7.21.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/log4j-api-2.11.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/log4j-core-2.11.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/log4j-slf4j-impl-2.11.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/maven-repository-metadata-3.0.3.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/oshi-core-4.0.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/plexus-utils-3.0.24.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/processctrl-1.0.0.0.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/processmgmt-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-agent-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-agent-api-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-agent-wrapper-int-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-common-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-common-crypto-util-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-ext-service-reg-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-ext-service-reg-common-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-ext-validation-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-ext-validation-common-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-http-server-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/prov-rest-server-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ptools-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ptools-api-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/ptools-extras-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/slf4j-api-1.7.21.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/streamredirector-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/wagon-file-2.8.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/wagon-ftp-2.8.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/wagon-http-2.8.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/wagon-http-shared-2.8.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/wagon-provider-api-2.8.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/xz-1.8.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/y-zkc-api-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/y-zkc-core-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/y-zkc-i18n-10.0.13.11.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/zookeeper-3.5.5.jar;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib/zookeeper-jute-3.5.5.jar, java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment, sun.cpu.endian=little, wrapper.port=32000, basedir=H:\SoftwareAG\ARIS10.0\server\bin\work\work_adsadmin_m, java.vendor.url.bug=http://www.azulsystems.com/support/, sun.arch.data.model=64, jetty.git.hash=e1bc35120a6617ee3df052294e433f3a25ce7097, jdk.debug=release, ant.java.version=1.9, file.separator=\, java.io.tmpdir=C:\Windows\TEMP\, sun.jnu.encoding=Cp1252, wrapper.pid=12456, user.name=ADVQAAZRAPP019$, wrapper.native_library=wrapper, sun.io.unicode.encoding=UnicodeLittle, sun.java.launcher=SUN_STANDARD, sun.management.compiler=HotSpot 64-Bit Tiered Compilers, user.home=C:\Windows\system32\config\systemprofile, wrapper.jvmid=1, java.vendor.version=Zulu11.39+16-SA, user.timezone=America/New_York, user.language=en, wrapper.java.pid=13228, sun.os.patch.level=, java.class.version=55.0, java.runtime.version=11.0.7+10-LTS, os.name=Windows Server 2012 R2, ant.version=Apache Ant(TM) version 1.9.7 compiled on April 9 2016, sun.cpu.isalist=amd64, java.version=11.0.7, user.variant=, java.specification.name=Java Platform API Specification, log4j.configuration=file:H:\SoftwareAG\ARIS10.0\server\bin\log4j2.xml, java.specification.version=11, wrapper.jvm.port.max=31999, java.vm.specification.vendor=Oracle Corporation, wrapper.lang.folder=../lang, user.country=US, sun.boot.library.path=H:\SoftwareAG\ARIS10.0\server\jre\bin, user.script=, os.version=6.3, java.vm.version=11.0.7+10-LTS, java.home=H:\SoftwareAG\ARIS10.0\server\jre, agent.working.dir=H:\SoftwareAG\ARIS10.0\server\bin\., java.library.path=H:\SoftwareAG\ARIS10.0/server/lib;H:\SoftwareAG\ARIS10.0/server/Cloudagent/lib, org.omg.PortableInterceptor.ORBInitializerClass.org.omg.PortableInterceptor.RuxitOrbInitializer=, java.vm.specification.version=11, java.vm.specification.name=Java Virtual Machine Specification, sun.java.command=com.aris.prov.AgentWrapperMain, os.arch=amd64}
INFO   | jvm 1    | 2021/07/12 05:48:22 | 2021-07-12 05:48:22,766|INFO |qtp966958493-63| com.aris.prov.agent.lifecycle.ant.AntAdapter - Successfully executed Ant with target run in working directory H:\SoftwareAG\ARIS10.0\server\bin\.\work\work_adsadmin_m for target run, exit code 0
INFO   | jvm 1    | 2021/07/12 05:48:22 | 2021-07-12 05:48:22,766|INFO |qtp966958493-63| com.aris.prov.agent.lifecycle.AbstractRunnableLifecycleManager - Invoking afterStart on plugin com.aris.prov.agent.plugin.WebappPlugin
INFO   | jvm 1    | 2021/07/12 05:48:22 | 2021-07-12 05:48:22,770|INFO |PluginCallback.adsadmin_m.afterStart| com.aris.provtools.processmgmt.Assassin - Successfully created assassin with process identification methods [PidFile, EnvironmentMarker]
INFO   | jvm 1    | 2021/07/12 05:48:22 | 2021-07-12 05:48:22,772|INFO |PluginCallback.adsadmin_m.afterStart| com.aris.prov.agent.plugin.base.BaseMonitoringAgentPlugin.adsadmin_m - Monitoring thread started, ping interval 3000msec
INFO   | jvm 1    | 2021/07/12 05:48:23 | 2021-07-12 05:48:23,802|INFO |Runnable state monitoring thread adsadmin_m| com.aris.prov.agent.plugin.WebappPlugin.adsadmin_m - Pinging port 14410 failed! java.net.ConnectException: Connection refused: connect
INFO   | jvm 1    | 2021/07/12 05:48:23 | 2021-07-12 05:48:23,802|INFO |Runnable state monitoring thread adsadmin_m| com.aris.prov.agent.plugin.base.RunnableStateMonitoringThread.adsadmin_m - Ping level 1 ping failed. 
INFO   | jvm 1    | 2021/07/12 05:48:27 | 2021-07-12 05:48:27,362|INFO |Thread-133| com.aris.prov.agent.lifecycle.AbstractRunnableLifecycleManager - Refreshed Zookeeper instance ID node information for runnable umcadmin_m: {ACC=AppTypeSpecificInfo{zookeeperInstanceNodeName='acc0000000000', zookeeperInstanceNodePath='/aris/applications/acc/instances/acc0000000000', context='null'}, TM=AppTypeSpecificInfo{zookeeperInstanceNodeName='tm0000000000', zookeeperInstanceNodePath='/aris/applications/tm/instances/tm0000000000', context='null'}, UMC=AppTypeSpecificInfo{zookeeperInstanceNodeName='umc0000000000', zookeeperInstanceNodePath='/aris/applications/umc/instances/umc0000000000', context='null'}, UMC_BUNDLE=AppTypeSpecificInfo{zookeeperInstanceNodeName='umcbundle0000000000', zookeeperInstanceNodePath='/aris/applications/umcbundle/instances/umcbundle0000000000', context='null'}}
INFO   | jvm 1    | 2021/07/12 05:48:27 | 2021-07-12 05:48:27,363|INFO |Thread-133| com.aris.prov.agent.lifecycle.AbstractRunnableLifecycleManager - Found a qualified context property umc.zookeeper.application.instance.context=/umc.  EAppType key is umc
INFO   | jvm 1    | 2021/07/12 05:48:27 | 2021-07-12 05:48:27,363|INFO |Thread-133| com.aris.prov.agent.lifecycle.AbstractRunnableLifecycleManager - Found a qualified context property acc.zookeeper.application.instance.context=/acc.  EAppType key is acc
