date;channel_group;channel_name;value;type_id
2021-09-30T11:10:23;zirkulation;og;31.9;1
2021-09-30T11:10:24;kollektor;vl;41.9;1
2021-09-30T11:10:25;zirkulation;warmwasser;51.9;1
2021-09-30T11:10:42;innentemperatur;heizraum;22.12;1
2021-09-30T11:10:42;innenfeuchtigkeit;heizraum;38.0;2
2021-09-30T11:10:42;co2konzentration;heizraum;518.0;3
2021-09-30T11:10:50;innentemperatur;heizraum2;22.02;1
2021-09-30T11:10:50;innenfeuchtigkeit;heizraum2;42.03;2
2021-09-30T11:10:50;luftqualitaet;heizraum;122.0;4
2021-09-30T11:10:50;luftdruck;heizraum;1027.17;4
2021-09-30T11:11:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:12:04;aussentemperatur;nord;11.0;1
2021-09-30T11:12:04;aussenfeuchtigkeit;nord;76.0;2
2021-09-30T11:12:04;innentemperatur;kueche;21.0;1
2021-09-30T11:12:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:12:15;speicher;mitte;55.9;1
2021-09-30T11:12:16;zirkulation;eg;27.0;1
2021-09-30T11:12:17;heizung;vl;31.1;1
2021-09-30T11:12:18;zirkulation;kueche;29.9;1
2021-09-30T11:12:19;heizung;rl;27.9;1
2021-09-30T11:12:20;speicher;unten;31.9;1
2021-09-30T11:12:21;speicher;oben;57.2;1
2021-09-30T11:12:22;heizung;ladung-rl;28.0;1
2021-09-30T11:12:23;zirkulation;og;32.1;1
2021-09-30T11:12:24;kollektor;vl;41.9;1
2021-09-30T11:12:25;zirkulation;warmwasser;50.9;1
2021-09-30T11:12:43;innentemperatur;heizraum;22.15;1
2021-09-30T11:12:43;innenfeuchtigkeit;heizraum;38.18;2
2021-09-30T11:12:43;co2konzentration;heizraum;512.0;3
2021-09-30T11:12:50;innentemperatur;heizraum2;21.97;1
2021-09-30T11:12:50;innenfeuchtigkeit;heizraum2;42.4;2
2021-09-30T11:12:50;luftqualitaet;heizraum;451.0;4
2021-09-30T11:12:50;luftdruck;heizraum;1027.15;4
2021-09-30T11:13:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:14:04;aussentemperatur;nord;11.1;1
2021-09-30T11:14:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:14:04;innentemperatur;kueche;21.1;1
2021-09-30T11:14:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:14:14;speicher;mitte;55.8;1
2021-09-30T11:14:15;zirkulation;eg;27.1;1
2021-09-30T11:14:16;heizung;vl;33.8;1
2021-09-30T11:14:18;zirkulation;kueche;30.0;1
2021-09-30T11:14:19;heizung;rl;27.8;1
2021-09-30T11:14:20;speicher;unten;32.1;1
2021-09-30T11:14:21;speicher;oben;57.8;1
2021-09-30T11:14:22;heizung;ladung-rl;28.0;1
2021-09-30T11:14:23;zirkulation;og;31.8;1
2021-09-30T11:14:24;kollektor;vl;43.1;1
2021-09-30T11:14:25;zirkulation;warmwasser;51.9;1
2021-09-30T11:14:42;innentemperatur;heizraum;22.19;1
2021-09-30T11:14:42;innenfeuchtigkeit;heizraum;38.47;2
2021-09-30T11:14:42;co2konzentration;heizraum;585.0;3
2021-09-30T11:14:50;innentemperatur;heizraum2;21.98;1
2021-09-30T11:14:50;innenfeuchtigkeit;heizraum2;42.74;2
2021-09-30T11:14:50;luftqualitaet;heizraum;500.0;4
2021-09-30T11:14:50;luftdruck;heizraum;1027.1599999999999;4
2021-09-30T11:15:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:16:04;aussentemperatur;nord;11.1;1
2021-09-30T11:16:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:16:04;innentemperatur;kueche;21.1;1
2021-09-30T11:16:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:16:14;speicher;mitte;55.8;1
2021-09-30T11:16:15;zirkulation;eg;26.8;1
2021-09-30T11:16:16;heizung;vl;34.9;1
2021-09-30T11:16:18;zirkulation;kueche;30.8;1
2021-09-30T11:16:19;heizung;rl;29.1;1
2021-09-30T11:16:20;speicher;unten;32.8;1
2021-09-30T11:16:21;speicher;oben;57.1;1
2021-09-30T11:16:22;heizung;ladung-rl;27.9;1
2021-09-30T11:16:23;zirkulation;og;31.1;1
2021-09-30T11:16:24;kollektor;vl;43.0;1
2021-09-30T11:16:25;zirkulation;warmwasser;53.8;1
2021-09-30T11:16:42;innentemperatur;heizraum;22.17;1
2021-09-30T11:16:42;innenfeuchtigkeit;heizraum;38.78;2
2021-09-30T11:16:42;co2konzentration;heizraum;547.0;3
2021-09-30T11:16:50;innentemperatur;heizraum2;22.03;1
2021-09-30T11:16:50;innenfeuchtigkeit;heizraum2;42.77;2
2021-09-30T11:16:50;luftqualitaet;heizraum;500.0;4
2021-09-30T11:16:50;luftdruck;heizraum;1027.17;4
2021-09-30T11:17:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:18:04;aussentemperatur;nord;11.1;1
2021-09-30T11:18:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:18:04;innentemperatur;kueche;21.1;1
2021-09-30T11:18:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:18:14;speicher;mitte;56.2;1
2021-09-30T11:18:15;zirkulation;eg;26.9;1
2021-09-30T11:18:16;heizung;vl;32.2;1
2021-09-30T11:18:17;zirkulation;kueche;29.9;1
2021-09-30T11:18:18;heizung;rl;30.1;1
2021-09-30T11:18:19;speicher;unten;33.1;1
2021-09-30T11:18:21;speicher;oben;57.1;1
2021-09-30T11:18:22;heizung;ladung-rl;27.9;1
2021-09-30T11:18:23;zirkulation;og;30.8;1
2021-09-30T11:18:24;kollektor;vl;43.8;1
2021-09-30T11:18:25;zirkulation;warmwasser;53.2;1
2021-09-30T11:18:42;innentemperatur;heizraum;22.24;1
2021-09-30T11:18:42;innenfeuchtigkeit;heizraum;38.68;2
2021-09-30T11:18:42;co2konzentration;heizraum;537.0;3
2021-09-30T11:18:50;innentemperatur;heizraum2;22.02;1
2021-09-30T11:18:50;innenfeuchtigkeit;heizraum2;42.73;2
2021-09-30T11:18:50;luftqualitaet;heizraum;500.0;4
2021-09-30T11:18:50;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:19:29;gaszaehler;heizraum;1495.0;6
2021-09-30T11:20:04;aussentemperatur;nord;11.1;1
2021-09-30T11:20:04;aussenfeuchtigkeit;nord;75.0;2
